CNS_CFP,kcal_day,g_kcal,g_day_ave,kcal_ratio,mass_ratio
beef_lamb_pork,61.56316916,0.467,28.75,0.02872004024,0.01780185759
cereals,743.006993,0.286,212.5,0.3466226808,0.1315789474
chicken_poultry,61.43162393,0.468,28.75,0.02865867263,0.01780185759
dairy,184.0490798,1.63,300,0.08586135262,0.1857585139
eggs,65.78947368,0.684,45,0.03069166771,0.02786377709
fish_seafood,82.14285714,0.7,57.5,0.0383207394,0.03560371517
fruits,172.9559748,1.59,275,0.08068627109,0.1702786378
legumes,272.7272727,0.264,72,0.1272309134,0.04458204334
oils,237.0689655,0.116,27.5,0.1105958371,0.01702786378
roots_tubers,126.953125,1.28,162.5,0.05922532754,0.100619195
sugarcrops,0,0.265,0,0,0
treenuts,31.97674419,0.172,5.5,0.01491757803,0.003405572755
vegetables,103.8961039,3.85,400,0.0484689194,0.2476780186
total,2143.561383,,1615,1,1