kcal_requirement,FDA_SDP,kcal_day,g_day_ave,kcal_ratio,mass_ratio
1000,dark-green-veg,6.063579278,17.85714286,0.00600230319,0.0161687029
1000,red-and-orange-veg,27.68456376,89.28571429,0.02740479472,0.08084351448
1000,beans-peas-lentils,42.03869048,11.9047619,0.04161386442,0.01077913526
1000,starchy-veg,27.31092437,63.49206349,0.02703493118,0.0574887214
1000,other-veg,8.908507223,35.71428571,0.00881848144,0.03233740579
1000,fruits,86.73015873,222.2222222,0.08585369871,0.2012105249
1000,dairy,315.4642857,484,0.3122763308,0.4382365233
1000,whole-grains,105.0956464,42.52425,0.1040335922,0.03850346999
1000,refined-grains,124.7378,42.52425,0.1234772501,0.03850346999
1000,meats-poultry-eggs,61.03820918,40.49928571,0.06042138165,0.03666997142
1000,seafood,14.20022125,10.12482143,0.01405671954,0.009167492854
1000,nuts-seeds-soy-products,45.93617613,8.099857143,0.04547196365,0.007333994284
1000,oils,15,1.733333333,0.01484841605,0.001569442094
1000,other,130,34.44444444,0.1286862724,0.03118763136
1000,total,1010.208763,1104.426433,1,1
1200,dark-green-veg,12.12715856,35.71428571,0.0102025145,0.02606546087
1200,red-and-orange-veg,33.22147651,107.1428571,0.02794905288,0.0781963826
1200,beans-peas-lentils,42.03869048,11.9047619,0.03536692846,0.008688486956
1200,starchy-veg,47.79411765,111.1111111,0.04020893897,0.08109254492
1200,other-veg,14.84751204,59.52380952,0.01249113353,0.04344243478
1200,fruits,86.73015873,222.2222222,0.07296562487,0.1621850898
1200,dairy,394.3303571,605,0.3317480486,0.4415489071
1200,whole-grains,140.1275286,56.699,0.1178885503,0.04138079584
1200,refined-grains,166.3170667,56.699,0.1399216705,0.04138079584
1200,meats-poultry-eggs,85.45349286,56.699,0.07189157261,0.04138079584
1200,seafood,22.720354,16.19971429,0.01911451393,0.01182308453
1200,nuts-seeds-soy-products,45.93617613,8.099857143,0.03864586257,0.005911542263
1200,oils,17,1.964444444,0.01430201029,0.001433716194
1200,other,80,21.1965812,0.06730357785,0.01546996242
1200,total,1188.644089,1370.176645,1,1
1400,dark-green-veg,12.12715856,35.71428571,0.008765769283,0.02312073766
1400,red-and-orange-veg,33.22147651,107.1428571,0.02401319295,0.06936221298
1400,beans-peas-lentils,42.03869048,11.9047619,0.03038646357,0.007706912553
1400,starchy-veg,47.79411765,111.1111111,0.03454660929,0.07193118383
1400,other-veg,14.84751204,59.52380952,0.0107320989,0.03853456277
1400,fruits,130.0952381,333.3333333,0.09403561739,0.2157935515
1400,dairy,394.3303571,605,0.2850304064,0.3916652959
1400,whole-grains,175.1594107,70.87375,0.1266089641,0.04588229466
1400,refined-grains,207.8963333,70.87375,0.1502719111,0.04588229466
1400,meats-poultry-eggs,115.9725974,76.94864286,0.08382747102,0.04981506277
1400,seafood,34.080531,24.29957143,0.02463413588,0.01573107245
1400,nuts-seeds-soy-products,68.90426419,12.14978571,0.04980547419,0.007865536227
1400,oils,17,1.964444444,0.01228796318,0.00127174333
1400,other,90,23.84615385,0.06505392272,0.01543753868
1400,total,1383.467687,1544.686257,1,1
1600,dark-green-veg,18.19073783,53.57142857,0.01135875574,0.02972191496
1600,red-and-orange-veg,44.29530201,142.8571429,0.02765910435,0.07925843988
1600,beans-peas-lentils,84.07738095,23.80952381,0.05250003832,0.01320973998
1600,starchy-veg,54.62184874,126.984127,0.03410726071,0.07045194656
1600,other-veg,20.78651685,83.33333333,0.01297962566,0.04623408993
1600,fruits,130.0952381,333.3333333,0.08123474956,0.1849363597
1600,dairy,473.1964286,726,0.2954757909,0.4027913915
1600,whole-grains,210.1912929,85.0485,0.1312487473,0.04718567997
1600,refined-grains,166.3170667,56.699,0.1038525734,0.03145711998
1600,meats-poultry-eggs,140.3878811,93.14835714,0.0876617356,0.05167955425
1600,seafood,45.440708,32.39942857,0.02837432475,0.01797549713
1600,nuts-seeds-soy-products,91.87235225,16.19971429,0.0573674151,0.008987748566
1600,oils,22,2.542222222,0.01373735516,0.00141044797
1600,other,100,26.4957265,0.06244252345,0.01470006962
1600,total,1601.472754,1802.421838,1,1
1800,dark-green-veg,18.19073783,53.57142857,0.01009527748,0.02746227878
1800,red-and-orange-veg,60.90604027,196.4285714,0.03380090363,0.1006950222
1800,beans-peas-lentils,126.1160714,35.71428571,0.06999038451,0.01830818586
1800,starchy-veg,68.27731092,158.7301587,0.037891723,0.08136971491
1800,other-veg,23.75601926,95.23809524,0.01318383061,0.04882182895
1800,fruits,130.0952381,333.3333333,0.07219869469,0.1708764013
1800,dairy,473.1964286,726,0.2626088777,0.3721688021
1800,whole-grains,210.1912929,85.0485,0.1166494424,0.04359834485
1800,refined-grains,249.4756,85.0485,0.1384509759,0.04359834485
1800,meats-poultry-eggs,140.3878811,93.14835714,0.07791078225,0.04775056817
1800,seafood,45.440708,32.39942857,0.02521813904,0.01660889328
1800,nuts-seeds-soy-products,91.87235225,16.19971429,0.050986216,0.008304446639
1800,oils,24,2.773333333,0.01331923211,0.001421691659
1800,other,140,37.09401709,0.07769552064,0.01901547645
1800,total,1801.905681,1950.727723,1,1
2000,dark-green-veg,18.19073783,53.57142857,0.009143140405,0.02545104927
2000,red-and-orange-veg,60.90604027,196.4285714,0.03061296814,0.09332051401
2000,beans-peas-lentils,126.1160714,35.71428571,0.06338923461,0.01696736618
2000,starchy-veg,68.27731092,158.7301587,0.03431796148,0.07541051637
2000,other-veg,23.75601926,95.23809524,0.01194039635,0.04524630982
2000,fruits,173.4603175,444.4444444,0.08718569041,0.2111494458
2000,dairy,473.1964286,726,0.237840896,0.3449126198
2000,whole-grains,210.1912929,85.0485,0.1056476389,0.0404053732
2000,refined-grains,249.4756,85.0485,0.1253929587,0.0404053732
2000,meats-poultry-eggs,158.6993439,105.2981429,0.07976643919,0.05002570015
2000,seafood,45.440708,32.39942857,0.02283968782,0.01539252312
2000,nuts-seeds-soy-products,114.8404403,20.24964286,0.05772180763,0.009620326952
2000,oils,27,3.12,0.01357090587,0.00148226911
2000,other,240,63.58974359,0.1206302744,0.03021061302
2000,total,1989.550311,2104.880942,1,1
2200,dark-green-veg,24.25431711,71.42857143,0.01118079979,0.03172579049
2200,red-and-orange-veg,66.44295302,214.2857143,0.0306289949,0.09517737146
2200,beans-peas-lentils,168.1547619,47.61904762,0.07751629195,0.02115052699
2200,starchy-veg,81.93277311,190.4761905,0.0377695207,0.08460210796
2200,other-veg,29.69502408,119.047619,0.01368886691,0.05287631748
2200,fruits,173.4603175,444.4444444,0.07996205673,0.1974049186
2200,dairy,473.1964286,726,0.2181349615,0.3224609345
2200,whole-grains,245.223175,99.22325,0.113043431,0.04407110457
2200,refined-grains,291.0548667,99.22325,0.1341710087,0.04407110457
2200,meats-poultry-eggs,170.9069857,113.398,0.07878501715,0.05036697665
2200,seafood,51.1207965,36.44935714,0.02356575895,0.01618938535
2200,nuts-seeds-soy-products,114.8404403,20.24964286,0.05293935776,0.008994102974
2200,oils,29,3.351111111,0.01336847343,0.001488433086
2200,other,250,66.23931624,0.1152454606,0.02942092536
2200,total,2169.282839,2251.435515,1,1
2400,dark-green-veg,24.25431711,71.42857143,0.01035674746,0.0308578356
2400,red-and-orange-veg,66.44295302,214.2857143,0.02837156296,0.09257350679
2400,beans-peas-lentils,168.1547619,47.61904762,0.07180315138,0.0205718904
2400,starchy-veg,81.93277311,190.4761905,0.03498581452,0.08228756159
2400,other-veg,29.69502408,119.047619,0.01267996389,0.051429726
2400,fruits,173.4603175,444.4444444,0.0740686573,0.1920043104
2400,dairy,473.1964286,726,0.2020578805,0.313639041
2400,whole-grains,280.2550571,113.398,0.1196706895,0.04898903577
2400,refined-grains,332.6341333,113.398,0.1420368877,0.04898903577
2400,meats-poultry-eggs,189.2184485,125.5477857,0.08079747933,0.05423786104
2400,seafood,56.800885,40.49928571,0.02425433867,0.01749608421
2400,nuts-seeds-soy-products,114.8404403,20.24964286,0.04903759743,0.008748042103
2400,oils,31,3.582222222,0.0132371969,0.001547554742
2400,other,320,84.78632479,0.1366420325,0.0366285146
2400,total,2341.88554,2314.762849,1,1
2600,dark-green-veg,30.31789639,89.28571429,0.01199617117,0.03628711827
2600,red-and-orange-veg,77.51677852,250,0.03067180295,0.1016039311
2600,beans-peas-lentils,210.1934524,59.52380952,0.08316924768,0.02419141218
2600,starchy-veg,95.58823529,222.2222222,0.03782230858,0.09031460546
2600,other-veg,32.66452648,130.952381,0.01292468468,0.05322110679
2600,fruits,173.4603175,444.4444444,0.0686346979,0.1806292109
2600,dairy,473.1964286,726,0.1872341432,0.295057816
2600,whole-grains,315.2869393,127.57275,0.1247525898,0.05184757163
2600,refined-grains,374.2134,127.57275,0.1480685844,0.05184757163
2600,meats-poultry-eggs,189.2184485,125.5477857,0.07486986787,0.0510245943
2600,seafood,56.800885,40.49928571,0.02247494781,0.01645954655
2600,nuts-seeds-soy-products,114.8404403,20.24964286,0.04544001212,0.008229773274
2600,oils,34,3.928888889,0.01345310422,0.001596762225
2600,other,350,92.73504274,0.1384878376,0.03768897959
2600,total,2527.297748,2460.534717,1,1
2800,dark-green-veg,30.31789639,89.28571429,0.01121037537,0.03410878037
2800,red-and-orange-veg,77.51677852,250,0.02866268075,0.09550458503
2800,beans-peas-lentils,210.1934524,59.52380952,0.07772133898,0.02273918691
2800,starchy-veg,95.58823529,222.2222222,0.03534480049,0.08489296447
2800,other-veg,32.66452648,130.952381,0.01207806764,0.0500262112
2800,fruits,216.8253968,555.5555556,0.08017357332,0.2122324112
2800,dairy,473.1964286,726,0.1749695798,0.2773453149
2800,whole-grains,350.3188214,141.7475,0.1295342341,0.05415014466
2800,refined-grains,415.7926667,141.7475,0.1537439079,0.05415014466
2800,meats-poultry-eggs,201.4260903,133.6476429,0.0744795105,0.05105585068
2800,seafood,56.800885,40.49928571,0.02100275145,0.0154714699
2800,nuts-seeds-soy-products,137.8085284,24.29957143,0.05095621784,0.009282881942
2800,oils,36,4.16,0.01331139563,0.001589196295
2800,other,370,98.03418803,0.1368115662,0.03745085779
2800,total,2704.449706,2617.675371,1,1
3000,dark-green-veg,30.31789639,89.28571429,0.01062820246,0.03265313233
3000,red-and-orange-veg,83.05369128,267.8571429,0.02911519436,0.09795939698
3000,beans-peas-lentils,252.2321429,71.42857143,0.08842217305,0.02612250586
3000,starchy-veg,109.2436975,253.968254,0.03829632898,0.09288002084
3000,other-veg,41.57303371,166.6666667,0.01457378881,0.06095251368
3000,fruits,216.8253968,555.5555556,0.07601003006,0.2031750456
3000,dairy,473.1964286,726,0.1658831266,0.2655091496
3000,whole-grains,350.3188214,141.7475,0.1228073119,0.0518391986
3000,refined-grains,415.7926667,141.7475,0.1457597383,0.0518391986
3000,meats-poultry-eggs,201.4260903,133.6476429,0.07061166912,0.04887695868
3000,seafood,56.800885,40.49928571,0.01991204462,0.0148111996
3000,nuts-seeds-soy-products,137.8085284,24.29957143,0.04830997908,0.008886719759
3000,oils,44,5.084444444,0.01542458297,0.001859458017
3000,other,440,116.5811966,0.1542458297,0.04263550188
3000,total,2852.589279,2734.369046,1,1
3200,dark-green-veg,30.31789639,89.28571429,0.01010734923,0.03220669395
3200,red-and-orange-veg,83.05369128,267.8571429,0.02768835449,0.09662008184
3200,beans-peas-lentils,252.2321429,71.42857143,0.08408889331,0.02576535516
3200,starchy-veg,109.2436975,253.968254,0.03641955192,0.09161015167
3200,other-veg,41.57303371,166.6666667,0.01385957538,0.06011916203
3200,fruits,216.8253968,555.5555556,0.0722850286,0.2003972068
3200,dairy,473.1964286,726,0.1577537405,0.2618790698
3200,whole-grains,350.3188214,141.7475,0.1167889297,0.05113044552
3200,refined-grains,415.7926667,141.7475,0.1386165331,0.05113044552
3200,meats-poultry-eggs,201.4260903,133.6476429,0.06715122358,0.04820870578
3200,seafood,56.800885,40.49928571,0.01893622083,0.01460869872
3200,nuts-seeds-soy-products,137.8085284,24.29957143,0.04594246597,0.008765219232
3200,oils,51,5.893333333,0.01700232774,0.002125813569
3200,other,580,153.6752137,0.1933598057,0.05543295043
3200,total,2999.589279,2772.271952,1,1